Step,bond_distance,Br2_-2_1_RKS_wB97M-V_def2-TZVPD,Br2_-2_1_UKS_wB97M-V_def2-TZVPD,Br2_0_1_RKS_wB97M-V_def2-TZVPD,Br2_0_1_UKS_wB97M-V_def2-TZVPD,Cl2_-2_1_RKS_wB97M-V_def2-TZVPD,Cl2_-2_1_UKS_wB97M-V_def2-TZVPD,Cl2_0_1_RKS_wB97M-V_def2-TZVPD,Cl2_0_1_UKS_wB97M-V_def2-TZVPD,F2_-2_1_RKS_wB97M-V_def2-TZVPD,F2_-2_1_UKS_wB97M-V_def2-TZVPD,F2_0_1_RKS_wB97M-V_def2-TZVPD,F2_0_1_UKS_wB97M-V_def2-TZVPD,H2_0_1_RKS_wB97M-V_def2-TZVPD,H2_0_1_UKS_wB97M-V_def2-TZVPD,H_Br_-2_1_RKS_wB97M-V_def2-TZVPD,H_Br_-2_1_UKS_wB97M-V_def2-TZVPD,H_Br_0_1_RKS_wB97M-V_def2-TZVPD,H_Br_0_1_UKS_wB97M-V_def2-TZVPD,H_Br_2_1_RKS_wB97M-V_def2-TZVPD,H_Br_2_1_UKS_wB97M-V_def2-TZVPD,H_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,H_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,H_Cl_0_1_RKS_wB97M-V_def2-TZVPD,H_Cl_0_1_UKS_wB97M-V_def2-TZVPD,H_Cl_2_1_RKS_wB97M-V_def2-TZVPD,H_Cl_2_1_UKS_wB97M-V_def2-TZVPD,H_F_-2_1_RKS_wB97M-V_def2-TZVPD,H_F_-2_1_UKS_wB97M-V_def2-TZVPD,H_F_0_1_RKS_wB97M-V_def2-TZVPD,H_F_0_1_UKS_wB97M-V_def2-TZVPD,H_F_2_1_RKS_wB97M-V_def2-TZVPD,H_F_2_1_UKS_wB97M-V_def2-TZVPD,H_I_-2_1_RKS_wB97M-V_def2-TZVPD,H_I_-2_1_UKS_wB97M-V_def2-TZVPD,H_I_0_1_RKS_wB97M-V_def2-TZVPD,H_I_0_1_UKS_wB97M-V_def2-TZVPD,H_I_2_1_RKS_wB97M-V_def2-TZVPD,H_I_2_1_UKS_wB97M-V_def2-TZVPD,I2_-2_1_RKS_wB97M-V_def2-TZVPD,I2_-2_1_UKS_wB97M-V_def2-TZVPD,I2_0_1_RKS_wB97M-V_def2-TZVPD,I2_0_1_UKS_wB97M-V_def2-TZVPD,K2_0_1_RKS_wB97M-V_def2-TZVPD,K2_0_1_UKS_wB97M-V_def2-TZVPD,K2_2_1_RKS_wB97M-V_def2-TZVPD,K2_2_1_UKS_wB97M-V_def2-TZVPD,K_Br_-2_1_RKS_wB97M-V_def2-TZVPD,K_Br_-2_1_UKS_wB97M-V_def2-TZVPD,K_Br_0_1_RKS_wB97M-V_def2-TZVPD,K_Br_0_1_UKS_wB97M-V_def2-TZVPD,K_Br_2_1_RKS_wB97M-V_def2-TZVPD,K_Br_2_1_UKS_wB97M-V_def2-TZVPD,K_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,K_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,K_Cl_0_1_RKS_wB97M-V_def2-TZVPD,K_Cl_0_1_UKS_wB97M-V_def2-TZVPD,K_Cl_2_1_RKS_wB97M-V_def2-TZVPD,K_Cl_2_1_UKS_wB97M-V_def2-TZVPD,K_F_-2_1_RKS_wB97M-V_def2-TZVPD,K_F_-2_1_UKS_wB97M-V_def2-TZVPD,K_F_0_1_RKS_wB97M-V_def2-TZVPD,K_F_0_1_UKS_wB97M-V_def2-TZVPD,K_F_2_1_RKS_wB97M-V_def2-TZVPD,K_F_2_1_UKS_wB97M-V_def2-TZVPD,K_I_-2_1_RKS_wB97M-V_def2-TZVPD,K_I_-2_1_UKS_wB97M-V_def2-TZVPD,K_I_0_1_RKS_wB97M-V_def2-TZVPD,K_I_0_1_UKS_wB97M-V_def2-TZVPD,K_I_2_1_RKS_wB97M-V_def2-TZVPD,K_I_2_1_UKS_wB97M-V_def2-TZVPD,Li2_0_1_RKS_wB97M-V_def2-TZVPD,Li2_0_1_UKS_wB97M-V_def2-TZVPD,Li2_2_1_RKS_wB97M-V_def2-TZVPD,Li2_2_1_UKS_wB97M-V_def2-TZVPD,Li_Br_-2_1_RKS_wB97M-V_def2-TZVPD,Li_Br_-2_1_UKS_wB97M-V_def2-TZVPD,Li_Br_0_1_RKS_wB97M-V_def2-TZVPD,Li_Br_0_1_UKS_wB97M-V_def2-TZVPD,Li_Br_2_1_RKS_wB97M-V_def2-TZVPD,Li_Br_2_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_0_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_0_1_UKS_wB97M-V_def2-TZVPD,Li_Cl_2_1_RKS_wB97M-V_def2-TZVPD,Li_Cl_2_1_UKS_wB97M-V_def2-TZVPD,Li_F_-2_1_RKS_wB97M-V_def2-TZVPD,Li_F_-2_1_UKS_wB97M-V_def2-TZVPD,Li_F_0_1_RKS_wB97M-V_def2-TZVPD,Li_F_0_1_UKS_wB97M-V_def2-TZVPD,Li_F_2_1_RKS_wB97M-V_def2-TZVPD,Li_F_2_1_UKS_wB97M-V_def2-TZVPD,Li_I_-2_1_RKS_wB97M-V_def2-TZVPD,Li_I_-2_1_UKS_wB97M-V_def2-TZVPD,Li_I_0_1_RKS_wB97M-V_def2-TZVPD,Li_I_0_1_UKS_wB97M-V_def2-TZVPD,Li_I_2_1_RKS_wB97M-V_def2-TZVPD,Li_I_2_1_UKS_wB97M-V_def2-TZVPD,Na2_0_1_RKS_wB97M-V_def2-TZVPD,Na2_0_1_UKS_wB97M-V_def2-TZVPD,Na2_2_1_RKS_wB97M-V_def2-TZVPD,Na2_2_1_UKS_wB97M-V_def2-TZVPD,Na_Br_-2_1_RKS_wB97M-V_def2-TZVPD,Na_Br_-2_1_UKS_wB97M-V_def2-TZVPD,Na_Br_0_1_RKS_wB97M-V_def2-TZVPD,Na_Br_0_1_UKS_wB97M-V_def2-TZVPD,Na_Br_2_1_RKS_wB97M-V_def2-TZVPD,Na_Br_2_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_-2_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_-2_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_0_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_0_1_UKS_wB97M-V_def2-TZVPD,Na_Cl_2_1_RKS_wB97M-V_def2-TZVPD,Na_Cl_2_1_UKS_wB97M-V_def2-TZVPD,Na_F_-2_1_RKS_wB97M-V_def2-TZVPD,Na_F_-2_1_UKS_wB97M-V_def2-TZVPD,Na_F_0_1_RKS_wB97M-V_def2-TZVPD,Na_F_0_1_UKS_wB97M-V_def2-TZVPD,Na_F_2_1_RKS_wB97M-V_def2-TZVPD,Na_F_2_1_UKS_wB97M-V_def2-TZVPD,Na_I_-2_1_RKS_wB97M-V_def2-TZVPD,Na_I_-2_1_UKS_wB97M-V_def2-TZVPD,Na_I_0_1_RKS_wB97M-V_def2-TZVPD,Na_I_0_1_UKS_wB97M-V_def2-TZVPD,Na_I_2_1_RKS_wB97M-V_def2-TZVPD,Na_I_2_1_UKS_wB97M-V_def2-TZVPD
11,6.98648649,-5148.11515079,-5148.11515079,-5147.81089048,-5147.93667797,-920.44526475,-920.44526475,-920.11567024,-920.25210558,-199.66479178,-199.66479178,-199.2743092,-199.49296297,-0.82401697,-0.98821142,-2574.51666398,-2574.51666398,-2574.32273946,-2574.46248294,-2573.3953603,-2573.3953603,-460.68124907,-460.68124907,-460.47861682,-460.62016838,-459.5050665,-459.5050665,-100.29089536,-100.29089536,-100.07797663,-100.24058353,-98.9043718,-98.9043718,-298.20629393,-298.20629393,-298.02384081,-298.15933674,-297.1498183,-297.19146953,-595.49110425,-595.49110425,-595.22059322,-595.33034996,-1199.7450977,-1199.7450977,-1199.373327355485,-1199.373327355601,-3173.92328721,-3173.92328721,-3173.896115033172,-3173.89611503,-3173.11772079,-3173.11772079,-1060.08850009,-1060.08850009,-1060.060998114777,-1060.060998114918,-1059.22792398,-1059.22792398,-699.69845494,-699.69845545,-699.67097062,-699.67097061,-698.62890892,-698.62890892,-897.61091244,-897.61091244,-897.58415992,-897.58415992,-896.87137151,-896.87137151,-14.91184839,-14.91184839,-14.47596386,-14.47596386,-2581.50398754,-2581.50398754,-2581.44954508,-2581.44954508,-2580.67123279,-2580.67123279,-467.6688993,-467.6688993,-467.61411098,-467.61411098,-466.78093976,-466.78093976,-107.27845051,-107.27845015,-107.22533084,-107.23345244,-106.18023247,-106.18023247,-305.19218952,-305.192189518581,-305.13833011,-305.13833011,-304.42567581,-304.42567581,-324.467875567261,-324.514393884155,-324.06173562,-324.061735615558,-2736.30029869,-2736.30029869,-2736.23999806,-2736.24170195,-2735.46410961,-2735.46410961,-622.46524457,-622.46524457,-622.40634463,-622.40634462,-621.5738107,-621.5738107,-262.0746953,-262.0746953,-262.01734193,-262.02121614,-260.97311749,-260.97311749,-459.98843695,-459.98843693,-459.93029147,-459.92780516,-459.21856189,-459.21856189
12,6.88513514,-5148.11414464,-5148.11414463,-5147.81156472,-5147.93667488,-920.44423935,-920.44423935,-920.11630282,-920.25210296,-199.66369092,-199.66369092,-199.27488261,-199.49296029,-0.8245921,-0.98821038,-2574.51574336,-2574.51574336,-2574.3233769,-2574.46248297,-2573.39429222,-2573.39429222,-460.68026249,-460.68026249,-460.47921229,-460.62016945,-459.5039863,-459.5039863,-100.28981368,-100.28981368,-100.07860317,-100.24058108,-98.90326785,-98.90326785,-298.20549099,-298.20549099,-298.02450205,-298.15934022,-297.14877041,-297.19042212,-595.49013491,-595.49013491,-595.22135922,-595.33034981,-1199.74605919,-1199.74605919,-1199.372223246995,-1199.372223247171,-3173.92270791,-3173.92270791,-3173.897312741321,-3173.89731274,-3173.11656004,-3173.11656004,-1060.08792384,-1060.08792384,-1060.062168844807,-1060.062168845118,-1059.22677547,-1059.22677547,-699.69787364,-699.69787385,-699.67211495,-699.67211495,-698.62781072,-698.62781072,-897.61033133,-897.61033133,-897.58539824,-897.58539824,-896.87019335,-896.87019335,-14.91277849,-14.91277849,-14.47484955,-14.47484955,-2581.50322445,-2581.50322445,-2581.45066445,-2581.45066445,-2580.67015812,-2580.67015812,-467.66812649,-467.66812649,-467.61521274,-467.61521274,-466.77985403,-466.77985403,-107.27766159,-107.27766198,-107.22638091,-107.23408745,-106.17913898,-106.17913898,-305.19144762,-305.191447614478,-305.1394779,-305.1394779,-304.42462445,-304.42462445,-324.467785084966,-324.514383688825,-324.060623,-324.060622995384,-2736.29967464,-2736.29967464,-2736.24103978,-2736.24284938,-2735.46304167,-2735.46304167,-622.46460724,-622.46460724,-622.40746926,-622.40746925,-621.57272268,-621.57272268,-262.07402802,-262.07402802,-262.01839895,-262.02198399,-260.97200997,-260.97200997,-459.9878308,-459.98783091,-459.93147327,-459.92883089,-459.21751716,-459.21751716
13,6.78378378,-5148.11311751,-5148.1131175,-5147.81227024,-5147.93667528,-920.44318891,-920.44318891,-920.11696217,-920.25210261,-199.66255827,-199.66255827,-199.27547404,-199.4929572,-0.82518907,-0.98820986,-2574.51481167,-2574.51481167,-2574.32404069,-2574.46248519,-2573.39319397,-2573.39319397,-460.67926085,-460.67926085,-460.47981799,-460.6201727,-459.50287512,-459.50287512,-100.28870215,-100.28870215,-100.07925011,-100.24057856,-98.90213129,-98.90213129,-298.20467311,-298.20467311,-298.02519541,-298.15934392,-297.14769373,-297.18934595,-595.48914445,-595.48914445,-595.22216683,-595.33035143,-1199.7470518,-1199.7470518,-1199.371086716405,-1199.371086716523,-3173.92212821,-3173.92212821,-3173.898553097667,-3173.8985531,-3173.11536084,-3173.11536084,-1060.08734932,-1060.08734932,-1060.06338156613,-1060.063381566425,-1059.22558696,-1059.22558696,-699.69727613,-699.69727683,-699.67328186,-699.67328186,-698.6266623,-698.6266623,-897.60974853,-897.60974853,-897.58667924,-897.58667924,-896.86897865,-896.86897865,-14.9137336,-14.9137336,-14.47370194,-14.47370194,-2581.50244817,-2581.50244817,-2581.45182724,-2581.45182724,-2580.66905407,-2580.66905407,-467.66733885,-467.66733885,-467.61635423,-467.61635423,-466.77873332,-466.77873332,-107.27684974,-107.27684933,-107.22745684,-107.23474562,-106.1780055,-106.1780055,-305.1906935,-305.190693542848,-305.1406751,-305.1406751,-304.42354755,-304.42354755,-324.467662916085,-324.514372402356,-324.05947679,-324.059476792509,-2736.29905188,-2736.29905188,-2736.24404403,-2736.24404365,-2735.46195047,-2735.46195047,-622.46397254,-622.46397254,-622.4086399,-622.40863989,-621.57160991,-621.57160991,-262.07334668,-262.07334668,-262.01948321,-262.02278255,-260.97085692,-260.97085692,-459.98722526,-459.9872253,-459.93270173,-459.93349396,-459.21644388,-459.21644388
14,6.68243243,-5148.11207022,-5148.11207022,-5147.81301047,-5147.9366799,-920.44211303,-920.44211303,-920.11764914,-920.25210487,-199.66139153,-199.66139153,-199.27608436,-199.49295381,-0.8258075,-0.98820961,-2574.51386746,-2574.51386746,-2574.32473298,-2574.46249036,-2573.39206429,-2573.39206429,-460.67824295,-460.67824295,-460.48045133,-460.62017844,-459.50173165,-459.50173165,-100.28756133,-100.28756133,-100.07991862,-100.24057599,-98.90096062,-98.90096062,-298.20383906,-298.20383906,-298.02591267,-298.15934785,-297.14658712,-297.18823988,-595.48813066,-595.48813066,-595.22301833,-595.33035369,-1199.74807791,-1199.74807791,-1199.369917598651,-1199.369917598896,-3173.92155161,-3173.92155161,-3173.899836440839,-3173.89983644,-3173.11412508,-3173.11412508,-1060.08677828,-1060.08677828,-1060.064639863954,-1060.064639864188,-1059.22436085,-1059.22436085,-699.69667733,-699.6966775,-699.67448422,-699.67448422,-698.62547377,-698.62547377,-897.60915857,-897.60915856,-897.58800101,-897.58800101,-896.86772314,-896.86772314,-14.91471356,-14.91471356,-14.47251951,-14.47251951,-2581.50166134,-2581.50166134,-2581.45303858,-2581.45303858,-2580.66792383,-2580.66792383,-467.66653954,-467.66653954,-467.61754117,-467.61754117,-466.7775811,-466.7775811,-107.27601197,-107.27601239,-107.22856034,-107.23543206,-106.17682638,-106.17682638,-305.18992718,-305.189927217711,-305.14192464,-305.14192464,-304.42244337,-304.42244337,-324.467507264125,-324.514362800611,-324.05829565,-324.05829564581,-2736.29843204,-2736.29843204,-2736.24528495,-2736.24528494,-2735.46083077,-2735.46083077,-622.46334126,-622.46334126,-622.40985907,-622.40985906,-621.57047375,-621.57047375,-262.07266019,-262.07266019,-262.0206066,-262.02362447,-260.96966643,-260.96966643,-459.98661605,-459.98661604,-459.93397635,-459.93458689,-459.21533726,-459.21533725
15,6.58108108,-5148.11100481,-5148.1110048,-5147.81378864,-5147.93668955,-920.44101187,-920.44101187,-920.11836779,-920.25211001,-199.66019075,-199.66019075,-199.27671469,-199.4929501,-0.82645169,-0.98820994,-2574.51290864,-2574.51290864,-2574.32545528,-2574.46249883,-2573.39090187,-2573.39090187,-460.67720611,-460.67720611,-460.48194385,-460.62018694,-459.50055449,-459.50055449,-100.28638844,-100.28638844,-100.08060989,-100.24057334,-98.89975432,-98.89975432,-298.20298877,-298.20298877,-298.02666644,-298.15935223,-297.14544938,-297.18710273,-595.48709116,-595.48709116,-595.22391624,-595.33035465,-1199.74913923,-1199.74913923,-1199.368714631364,-1199.368714631506,-3173.92097121,-3173.92097121,-3173.901161289392,-3173.90116129,-3173.11285158,-3173.11285158,-1060.08621106,-1060.08621106,-1060.065943177687,-1060.065943177948,-1059.22310012,-1059.22310012,-699.69609287,-699.6960935,-699.67573974,-699.67573974,-698.62426375,-698.62426375,-897.60856414,-897.60856414,-897.58936719,-897.58936719,-896.86642565,-896.86642565,-14.91572041,-14.91572041,-14.47130063,-14.47130063,-2581.50086084,-2581.50086084,-2581.45430127,-2581.45430127,-2580.66676674,-2580.66676674,-467.66573257,-467.66573257,-467.61877872,-467.61877872,-466.77640138,-466.77640138,-107.27515452,-107.27515409,-107.22969813,-107.23614778,-106.17560177,-106.17560177,-305.18914807,-305.189148113089,-305.14322726,-305.14322726,-304.42130824,-304.42130824,-324.467316507268,-324.514358210266,-324.05707845,-324.057078444538,-2736.29781085,-2736.29781085,-2736.24657129,-2736.24657128,-2735.45967435,-2735.45967435,-622.4627119,-622.4627119,-622.41112574,-622.41112573,-621.56930905,-621.56930905,-262.07198511,-262.07198511,-262.02178435,-262.02452633,-260.96845234,-260.96845234,-459.98600675,-459.98600675,-459.93530176,-459.9357445,-459.21419737,-459.21419738
16,6.47972973,-5148.10992434,-5148.10992434,-5147.81460952,-5147.93670539,-920.43988655,-920.43988655,-920.11911823,-920.25211855,-199.65895319,-199.65895319,-199.27736597,-199.49294599,-0.82712049,-0.9882101,-2574.51193566,-2574.51193566,-2574.32620946,-2574.46251108,-2573.38970531,-2573.38970531,-460.67614868,-460.67614868,-460.48268083,-460.62019846,-459.49934216,-459.49934216,-100.28518418,-100.28518418,-100.08132531,-100.24057058,-98.89851076,-98.89851076,-298.20212184,-298.20212184,-298.02744919,-298.15935723,-297.14427928,-297.18593324,-595.48602802,-595.48602802,-595.2248638,-595.33035445,-1199.75023566,-1199.75023566,-1199.367475091433,-1199.367475091558,-3173.92038758,-3173.92038758,-3173.90253026827,-3173.90253027,-3173.11153829,-3173.11153829,-1060.08564331,-1060.08564331,-1060.067288771317,-1060.067288771576,-1059.22180351,-1059.22180351,-699.6955276,-699.69552776,-699.67705498,-699.67705498,-698.62303905,-698.62303905,-897.60797741,-897.60797741,-897.59078843,-897.59078843,-896.86509018,-896.86509018,-14.91675756,-14.91675756,-14.4700436,-14.4700436,-2581.500045,-2581.50004499,-2581.45561582,-2581.45561582,-2580.66557789,-2580.66557789,-467.66491509,-467.66491509,-467.62006949,-467.62006949,-466.77519479,-466.77519479,-107.27428629,-107.2742867,-107.23088287,-107.23690674,-106.17434025,-106.17434025,-305.18835382,-305.188353860893,-305.14458412,-305.14458412,-304.42013867,-304.42013867,-324.467087848816,-324.514360947513,-324.05582394,-324.055823940972,-2736.29718883,-2736.29718883,-2736.24790482,-2736.24790483,-2735.45847845,-2735.45847845,-622.46208345,-622.46208345,-622.41243841,-622.41243841,-621.56810732,-621.56810732,-262.07132517,-262.07132516,-262.02302257,-262.02549674,-260.9672206,-260.9672206,-459.98540335,-459.98540335,-459.93668551,-459.9369769,-459.2130274,-459.2130274
17,6.37837838,-5148.10883167,-5148.10883167,-5147.81547866,-5147.93672766,-920.43873887,-920.43873887,-920.11990598,-920.25213129,-199.65767884,-199.65767884,-199.27803947,-199.49294143,-0.82781902,-0.98821223,-2574.51094988,-2574.51094988,-2574.32699763,-2574.46252752,-2573.38847314,-2573.38847314,-460.67507097,-460.67507097,-460.4834491,-460.62021318,-459.49809309,-459.49809309,-100.28394561,-100.28394561,-100.08206638,-100.2405677,-98.89722823,-98.89722823,-298.20123546,-298.20123545,-298.02827341,-298.15936268,-297.1430755,-297.18473013,-595.48494026,-595.48494026,-595.22587059,-595.33035558,-1199.75136654,-1199.75136654,-1199.36619617685,-1199.366196176965,-3173.9198082,-3173.91980819,-3173.903951704701,-3173.9039517,-3173.1101848,-3173.1101848,-1060.08507262,-1060.08507262,-1060.068678269343,-1060.068678269542,-1059.22046645,-1059.22046645,-699.69497031,-699.69497092,-699.67842021,-699.67842021,-698.62178493,-698.62178493,-897.60739631,-897.60739631,-897.59226657,-897.59226657,-896.86371284,-896.86371284,-14.91782826,-14.91782826,-14.46874664,-14.46874664,-2581.49921283,-2581.49921282,-2581.45698239,-2581.45698239,-2580.66435102,-2580.66435102,-467.6640841,-467.6640841,-467.62141286,-467.62141286,-466.7739568,-466.7739568,-107.27341933,-107.27341892,-107.23212655,-107.23772208,-106.17305155,-106.17305155,-305.18754465,-305.187544688864,-305.14599942,-305.14599942,-304.41893462,-304.41893462,-324.466816731497,-324.514372604634,-324.05453017,-324.054530171933,-2736.29657171,-2736.29657171,-2736.24929159,-2736.24929158,-2735.45724603,-2735.45724603,-622.46145381,-622.46145381,-622.41379812,-622.41379812,-621.5668626,-621.5668626,-262.07067394,-262.07067395,-262.02431477,-262.02653078,-260.96596067,-260.96596067,-459.98480722,-459.98480722,-459.93812806,-459.93828649,-459.21182375,-459.21182375
18,6.27702703,-5148.10772671,-5148.10772671,-5147.81640158,-5147.93675723,-920.43757063,-920.43757063,-920.12073336,-920.25214897,-199.65636469,-199.65636469,-199.27873623,-199.4929364,-0.82854646,-0.98821602,-2574.50995306,-2574.50995306,-2574.32782202,-2574.46254838,-2573.38720382,-2573.38720382,-460.67397435,-460.67397435,-460.48425035,-460.62023111,-459.4968056,-459.4968056,-100.28267369,-100.28267369,-100.08283467,-100.24056469,-98.89590491,-98.89590491,-298.20032806,-298.20032806,-298.02913131,-298.15936863,-297.14183668,-297.18349204,-595.48382979,-595.48382979,-595.22694492,-595.33036142,-1199.75253174,-1199.75253174,-1199.364875659262,-1199.364875659375,-3173.91923424,-3173.91923424,-3173.905425519285,-3173.90542552,-3173.108783,-3173.108783,-1060.08450252,-1060.08450252,-1060.070116616396,-1060.07011661686,-1059.21908228,-1059.21908228,-699.694409,-699.69440922,-699.67982295,-699.67982295,-698.62048189,-698.62048189,-897.60682135,-897.6068214,-897.59380352,-897.59380352,-896.86229147,-896.86229147,-14.91893427,-14.91893427,-14.46740789,-14.46740789,-2581.49836523,-2581.49836523,-2581.45840451,-2581.45840451,-2580.66308399,-2580.66308399,-467.66323727,-467.66323727,-467.62280792,-467.62280792,-466.77267982,-466.77267982,-107.27255425,-107.27255467,-107.23343266,-107.23859837,-106.17173701,-106.17173701,-305.18672241,-305.186722457797,-305.14747689,-305.14747689,-304.41769538,-304.41769538,-324.466498649183,-324.514393111375,-324.05319483,-324.053194831478,-2736.29596024,-2736.29596024,-2736.2507331,-2736.2507331,-2735.45597558,-2735.45597558,-622.4608256,-622.4608256,-622.41520665,-622.41520666,-621.56557197,-621.56557197,-262.07001892,-262.07001891,-262.02565197,-262.02761917,-260.96465855,-260.96465855,-459.98421949,-459.98421949,-459.93963225,-459.93967741,-459.21058546,-459.21058546
19,6.17567568,-5148.10660701,-5148.10660701,-5147.81738283,-5147.93679668,-920.43638316,-920.43638316,-920.12160588,-920.25217245,-199.65501065,-199.65501065,-199.2794577,-199.49293075,-0.8293056,-0.98822007,-2574.50894549,-2574.50894549,-2574.32868461,-2574.46257361,-2573.38589569,-2573.38589569,-460.67286015,-460.67286015,-460.48508629,-460.62025207,-459.49547793,-459.49547793,-100.28136441,-100.28136441,-100.08363187,-100.24056155,-98.89453886,-98.89453886,-298.199399,-298.199399,-298.03003673,-298.15937492,-297.14056144,-297.18221759,-595.48269207,-595.48269207,-595.22809055,-595.33036832,-1199.75373214,-1199.75373214,-1199.363512199527,-1199.363512199644,-3173.9186656,-3173.9186656,-3173.906956503794,-3173.9069565,-3173.10733218,-3173.10733218,-1060.08394167,-1060.08394167,-1060.071609577695,-1060.071609577658,-1059.21764693,-1059.21764693,-699.69383863,-699.69383927,-699.68125852,-699.68125852,-698.61911797,-698.61911797,-897.60625359,-897.60625365,-897.59540009,-897.59540009,-896.86082207,-896.86082207,-14.92007599,-14.92007599,-14.46602529,-14.46602529,-2581.49750104,-2581.49750104,-2581.4598856,-2581.4598856,-2580.66177558,-2580.66177558,-467.66237164,-467.66237164,-467.62425542,-467.62425542,-466.77135672,-466.77135672,-107.27168223,-107.27168182,-107.23479657,-107.23953321,-106.17038814,-106.17038814,-305.18588696,-305.185887003421,-305.14901821,-305.14901821,-304.41641767,-304.41641767,-324.466129820779,-324.51442579528,-324.05181555,-324.051815552411,-2736.29536094,-2736.29536094,-2736.25223344,-2736.25223343,-2735.45466698,-2735.45466698,-622.46020183,-622.46020182,-622.41666825,-622.41666825,-621.56423762,-621.56423762,-262.06935604,-262.06935605,-262.02702691,-262.02875486,-260.96330231,-260.96330231,-459.98364121,-459.98364121,-459.94120282,-459.94116568,-459.2093138,-459.2093138
20,6.07432432,-5148.10547413,-5148.10547413,-5147.81843031,-5147.9368493,-920.4351754,-920.4351754,-920.12252928,-920.25220265,-199.65361324,-199.65361324,-199.28020505,-199.49292434,-0.83009957,-0.98822517,-2574.50792345,-2574.50792345,-2574.32958773,-2574.46260264,-2573.38454701,-2573.38454701,-460.67172713,-460.67172713,-460.48595878,-460.62027552,-459.49410823,-459.49410823,-100.28001853,-100.28001853,-100.08445975,-100.24055829,-98.89312803,-98.89312803,-298.19844939,-298.19844939,-298.03098308,-298.15938173,-297.13924835,-297.18090536,-595.48152746,-595.48152746,-595.22931264,-595.3303738,-1199.75496934,-1199.75496934,-1199.362105468378,-1199.362105468525,-3173.91810612,-3173.91810612,-3173.908547895079,-3173.90854789,-3173.10583386,-3173.10583386,-1060.08339035,-1060.08339035,-1060.073162988529,-1060.073162988601,-1059.21616298,-1059.21616298,-699.69326387,-699.69326404,-699.68273559,-699.68273559,-698.61769592,-698.61769592,-897.6056874,-897.60568747,-897.59705347,-897.59705347,-896.85929539,-896.85929539,-14.92125384,-14.92125384,-14.46459659,-14.46459659,-2581.49662191,-2581.49662191,-2581.46142594,-2581.46142594,-2580.66042343,-2580.66042343,-467.66148573,-467.66148573,-467.62575742,-467.62575742,-466.76998306,-466.76998306,-107.27079179,-107.27079223,-107.23621255,-107.24052385,-106.16899549,-106.16899549,-305.18503864,-305.185038685916,-305.15062861,-305.15062861,-304.41510234,-304.41510234,-324.465706652909,-324.514475349124,-324.05038985,-324.050389851395,-2736.29477447,-2736.29477447,-2736.25379831,-2736.25379831,-2735.45332152,-2735.45332152,-622.45959164,-622.45959164,-622.41819003,-622.41819003,-621.56286527,-621.56286527,-262.0686792,-262.0686792,-262.02843744,-262.02993657,-260.96188166,-260.96188166,-459.98307285,-459.98307284,-459.94284208,-459.9428421,-459.20800621,-459.20800621
21,5.97297297,-5148.10431067,-5148.10431067,-5147.81954457,-5147.93691707,-920.43394366,-920.43394366,-920.12350785,-920.2522412,-199.65217227,-199.65217227,-199.28097992,-199.49291698,-0.83093043,-0.98823126,-2574.50687753,-2574.50687753,-2574.33053423,-2574.46263428,-2573.38315596,-2573.38315596,-460.6705698,-460.6705698,-460.48687006,-460.62030043,-459.49269455,-459.49269455,-100.27863229,-100.27863229,-100.08532025,-100.24055497,-98.89167025,-98.89167025,-298.19747598,-298.19747598,-298.03198521,-298.15938917,-297.13789593,-297.17955388,-595.48033641,-595.48033641,-595.23061848,-595.33037842,-1199.7562435,-1199.7562435,-1199.360653969572,-1199.360653969745,-3173.91755586,-3173.91755585,-3173.910198662873,-3173.91019866,-3173.10428363,-3173.10428363,-1060.08284869,-1060.08284869,-1060.074777815764,-1060.074777815525,-1059.21463179,-1059.21463179,-699.69270322,-699.69270406,-699.68427374,-699.68427374,-698.6162331,-698.6162331,-897.60512224,-897.60512078,-897.59876439,-897.59876439,-896.85770704,-896.85770704,-14.9224693,-14.9224693,-14.46311943,-14.46311943,-2581.49572871,-2581.49572871,-2581.46303119,-2581.46303119,-2580.65902834,-2580.65902834,-467.66058505,-467.66058505,-467.62731869,-467.62731869,-466.76855976,-466.76855976,-107.26987615,-107.2698757,-107.23767408,-107.24156577,-106.16754848,-106.16754848,-305.18418161,-305.184181589642,-305.15231407,-305.15231407,-304.41375018,-304.41375018,-324.465225677233,-324.514545572888,-324.04891528,-324.048915278588,-2736.29420218,-2736.29420218,-2736.25543101,-2736.25543101,-2735.45193744,-2735.45193744,-622.45899933,-622.45899933,-622.41977844,-622.41977844,-621.56145758,-621.56145758,-262.06800001,-262.068,-262.02989566,-262.03117663,-260.96039971,-260.96039971,-459.98251496,-459.98251496,-459.94454892,-459.94454893,-459.20665612,-459.20665612
